Home,Away,Year,ID,Home_Team,Away_Team
1.0,0.0,1879.0,101.0,Pennsylvania,Columbia
7.0,0.0,1879.0,102.0,Princeton,Stevens
0.0,1.0,1879.0,103.0,Stevens,Rutgers
7.0,0.0,1879.0,104.0,Pennsylvania,Pennsylvania Military
1.0,0.0,1879.0,105.0,Princeton,Harvard
5.0,0.0,1879.0,106.0,Yale,Rutgers
0.0,0.0,1879.0,107.0,Rutgers,Columbia
0.0,2.0,1879.0,108.0,Columbia,Yale
3.0,3.0,1879.0,109.0,Stevens,Rutgers
1.0,3.0,1879.0,110.0,Rutgers,Stevens
0.0,0.0,1879.0,111.0,Yale,Princeton
0.0,0.0,1879.0,112.0,Stevens Alumni,Stevens
0.0,0.0,1879.0,113.0,Rutgers,Stevens
5.0,1.0,1880.0,114.0,Rutgers,Stevens
0.0,0.0,1880.0,115.0,Harvard,Britannia
0.0,1.0,1880.0,116.0,Stevens,Rutgers
1.0,2.0,1880.0,117.0,Ottawa,Harvard
5.0,0.0,1880.0,118.0,Pennsylvania,Crescent A.C.
6.0,0.0,1880.0,119.0,Princeton,Stevens
0.0,0.0,1880.0,120.0,Harvard,Montreal
1.0,0.0,1880.0,121.0,Princeton,Pennsylvania
8.0,0.0,1880.0,122.0,Princeton,Rutgers
2.0,0.0,1880.0,123.0,Stevens,City College of New York
0.0,3.0,1880.0,124.0,Columbia,Harvard
3.0,0.0,1880.0,125.0,Pennsylvania,Stevens
13.0,0.0,1880.0,126.0,Yale,Columbia
3.0,0.0,1880.0,127.0,Columbia,Rutgers
0.0,5.0,1880.0,128.0,Stevens,Pennsylvania
2.0,1.0,1880.0,129.0,Princeton,Harvard
8.0,0.0,1880.0,130.0,Yale,Brown
8.0,0.0,1880.0,131.0,Yale,Pennsylvania
0.0,1.0,1880.0,132.0,Harvard,Yale
0.0,0.0,1880.0,133.0,Yale,Princeton
0.0,2.0,1881.0,134.0,Montreal,Harvard
1.0,9.0,1881.0,135.0,Ottawa,Harvard
3.0,0.0,1881.0,136.0,Princeton,Rutgers
0.0,2.0,1881.0,137.0,Britannia,Harvard
7.0,0.0,1881.0,138.0,Princeton,Stevens
0.0,7.0,1881.0,139.0,Pennsylvania,Princeton
0.0,2.0,1881.0,140.0,Amherst College,Yale
1.0,3.0,1881.0,141.0,Stevens,Columbia
1.0,0.0,1881.0,142.0,Harvard,Michigan
2.0,0.0,1881.0,143.0,Harvard,Pennsylvania
2.0,0.0,1881.0,144.0,Yale,Michigan
1.0,0.0,1881.0,145.0,Stevens,Rutgers
1.0,0.0,1881.0,146.0,Princeton,Michigan
2.0,2.0,1881.0,147.0,City College of New York,Stevens
1.0,0.0,1881.0,148.0,Harvard,Columbia
4.0,0.0,1881.0,149.0,Princeton,Pennsylvania
4.0,0.0,1881.0,150.0,Yale,Amherst College
0.0,0.0,1881.0,151.0,Columbia,Rutgers
0.0,1.0,1881.0,152.0,Rutgers,Princeton
0.0,1.0,1881.0,153.0,Amherst College,Dartmouth
1.0,0.0,1881.0,154.0,Princeton,Columbia
1.0,0.0,1881.0,155.0,Yale,Harvard
0.0,1.0,1881.0,156.0,Columbia,Yale
10.0,0.0,1881.0,157.0,Rutgers,City College of New York
0.0,0.0,1881.0,158.0,Dartmouth,Amherst College
0.0,0.0,1881.0,159.0,Princeton,Harvard
1.0,2.0,1881.0,160.0,Pennsylvania,Rutgers
1.0,0.0,1881.0,161.0,Columbia,Rutgers
0.0,0.0,1881.0,162.0,Yale,Princeton
0.0,2.0,1881.0,163.0,Pennsylvania,Columbia
1.0,0.0,1882.0,164.0,Harvard,MIT
9.0,0.0,1882.0,165.0,Yale,Wesleyan (CT)
5.0,0.0,1882.0,166.0,Princeton,Princeton Alumni
2.0,0.0,1882.0,167.0,Amherst College,UMass
5.0,0.0,1882.0,170.0,Princeton,Rutgers
5.0,0.0,1882.0,169.0,Pennsylvania,Crescent A.C.
3.0,0.0,1882.0,168.0,Harvard,MIT
7.0,0.0,1882.0,171.0,Rutgers,City College of New York
9.0,0.0,1882.0,174.0,Yale,Rutgers
7.0,0.0,1882.0,173.0,Wesleyan (CT),UMass
2.0,0.0,1882.0,172.0,Harvard,McGill
0.0,1.0,1882.0,176.0,Amherst College,Harvard
9.0,0.0,1882.0,177.0,Princeton,Pennsylvania
5.0,0.0,1882.0,175.0,Dartmouth,McGill
0.0,5.0,1882.0,179.0,Rutgers,Yale
0.0,7.0,1882.0,178.0,UMass,Wesleyan (CT)
8.0,0.0,1882.0,180.0,Harvard,Dartmouth
0.0,1.0,1882.0,181.0,Pennsylvania,Rutgers
1.0,0.0,1882.0,182.0,Wesleyan (CT),Amherst College
6.0,0.0,1882.0,183.0,Yale,MIT
2.0,0.0,1882.0,186.0,Stevens,City College of New York
0.0,8.0,1882.0,184.0,Columbia,Princeton
8.0,0.0,1882.0,185.0,Rutgers,Lafayette
0.0,9.0,1882.0,187.0,Amherst College,Yale
2.0,0.0,1882.0,188.0,Rutgers,Columbia
0.0,10.0,1882.0,190.0,Pennsylvania,Princeton
2.0,0.0,1882.0,189.0,Harvard,Columbia
0.0,3.0,1882.0,192.0,Rutgers,Princeton
1.0,1.0,1882.0,191.0,British Club of New York,Stevens
2.0,1.0,1882.0,193.0,Harvard,Princeton
1.0,0.0,1882.0,194.0,Rutgers,Pennsylvania
11.0,0.0,1882.0,195.0,Yale,Columbia
0.0,2.0,1882.0,196.0,Stevens,Rutgers
0.0,1.0,1882.0,199.0,Harvard,Yale
1.0,0.0,1882.0,197.0,Pennsylvania,Lafayette
3.0,0.0,1882.0,198.0,Princeton,Columbia
2.0,1.0,1882.0,200.0,Yale,Princeton
40.0,5.0,1883.0,201.0,Michigan,Detroit A.C.
60.0,0.0,1883.0,202.0,Yale,Wesleyan (CT)
0.0,94.0,1883.0,203.0,Wesleyan (CT),Yale
23.0,1.0,1883.0,204.0,Harvard,Wesleyan (CT)
59.0,0.0,1883.0,205.0,Yale,Stevens
4.0,0.0,1883.0,206.0,Harvard,Pennsylvania
59.0,0.0,1883.0,207.0,Stevens,Brooklyn Polytechnic Institute
0.0,20.0,1883.0,208.0,Rutgers,Princeton
12.0,0.0,1883.0,209.0,Columbia,City College of New York
4.0,14.0,1883.0,210.0,Stevens,Harvard
26.0,6.0,1883.0,211.0,Pennsylvania,Johns Hopkins
37.0,0.0,1883.0,212.0,Wesleyan (CT),Rutgers
54.0,7.0,1883.0,213.0,Princeton,Lafayette
0.0,14.0,1883.0,214.0,Stevens,Princeton
14.0,1.0,1883.0,215.0,Harvard,MIT
44.0,4.0,1883.0,216.0,Pennsylvania,Lafayette
61.0,0.0,1883.0,217.0,Princeton,Rutgers
19.0,0.0,1883.0,218.0,Stevens,Columbia
54.0,2.0,1883.0,219.0,Rutgers,City College of New York
6.0,18.0,1883.0,220.0,Wesleyan (CT),Harvard
39.0,6.0,1883.0,221.0,Princeton,Pennsylvania
4.0,14.0,1883.0,222.0,Lafayette,Stevens
11.0,2.0,1883.0,223.0,Harvard,Stevens
24.0,0.0,1883.0,224.0,Princeton,Wesleyan (CT)
92.0,0.0,1883.0,225.0,Yale,Rutgers
39.0,0.0,1883.0,226.0,Harvard,Williams
25.0,0.0,1883.0,227.0,Lafayette,Rutgers
30.0,0.0,1883.0,228.0,Pennsylvania,Johns Hopkins
35.0,1.0,1883.0,229.0,Pennsylvania,Columbia
0.0,49.0,1883.0,230.0,Brooklyn Polytechnic Institute,Yale
18.0,0.0,1883.0,231.0,Pennsylvania,Rutgers
26.0,7.0,1883.0,232.0,Princeton,Harvard
60.0,0.0,1883.0,233.0,Stevens,Seton Hall
21.0,0.0,1883.0,234.0,Wesleyan (CT),Williams
0.0,93.0,1883.0,235.0,Columbia,Yale
14.0,6.0,1883.0,236.0,Wesleyan (CT),Michigan
64.0,0.0,1883.0,237.0,Yale,Michigan
3.0,0.0,1883.0,238.0,Harvard,Michigan
38.0,7.0,1883.0,239.0,Pennsylvania,Pennsylvania Alumni
14.0,11.0,1883.0,240.0,Stevens,Lafayette
6.0,0.0,1883.0,241.0,Yale,Princeton
