,MAX,MIN
531,30,0
532,18,6
533,44,0
534,28,0
535,12,6
536,30,0
537,10,0
538,4,0
539,60,0
540,70,0
541,18,8
542,36,6
543,50,2
544,16,0
545,58,0
546,105,0
547,42,4
548,8,4
549,20,0
550,30,0
551,6,4
552,18,6
553,30,0
554,50,0
555,50,0
556,24,4
557,45,4
558,22,0
559,10,0
560,18,6
561,16,0
562,6,0
563,40,0
564,24,10
565,20,9
566,4,0
567,5,0
568,38,0
569,28,0
570,36,0
571,30,6
572,10,10
573,4,2
574,16,0
575,82,0
576,28,4
577,30,0
578,66,0
579,10,10
580,38,0
581,63,5
582,20,4
583,10,0
584,45,4
585,60,0
586,62,0
587,6,0
588,4,0
589,16,4
590,24,4
591,130,0
592,56,6
593,41,0
594,39,0
595,60,0
596,16,0
597,42,0
598,12,12
599,124,0
600,34,0
601,17,16
602,41,0
603,6,4
604,48,0
605,49,0
606,0,0
607,58,4
608,44,0
609,64,0
610,16,0
611,20,4
612,62,0
613,72,4
614,20,6
615,10,9
616,64,0
617,20,17
618,20,10
619,10,0
620,16,10
621,30,0
622,18,0
623,8,0
624,51,6
625,98,0
626,18,6
627,28,0
628,39,4
629,35,0
630,60,6
631,5,0
632,71,0
633,10,8
634,26,0
635,72,0
636,70,0
637,24,0
638,20,9
639,0,0
640,22,4
641,67,2
642,16,10
643,106,0
644,32,0
645,70,0
646,6,0
647,12,6
648,42,6
649,10,4
650,6,6
651,14,0
652,12,0
653,41,15
654,30,0
655,52,0
656,64,0
657,12,5
658,18,0
659,8,0
660,22,0
661,18,6
662,72,0
663,6,0
664,0,0
665,66,0
666,56,0
667,11,11
668,14,0
669,54,6
670,16,0
671,12,0
672,20,0
673,10,2
674,22,0
675,26,6
676,10,0
677,24,0
678,18,5
679,57,0
680,40,0
681,24,12
682,12,11
683,98,0
684,52,0
685,10,0
686,33,16
687,8,0
688,0,0
689,32,0
690,10,5
691,41,0
692,50,0
693,21,0
694,16,4
695,12,5
696,6,0
697,18,6
698,43,0
699,27,0
700,0,0
701,18,8
702,34,0
703,71,0
704,18,10
705,74,6
706,20,0
707,0,0
708,40,0
709,26,0
710,10,0
711,38,0
712,18,0
713,42,0
714,40,0
715,12,0
716,26,0
717,64,0
718,8,0
719,12,0
720,30,0
721,4,0
722,50,0
723,16,0
724,22,6
725,54,0
726,18,0
727,26,6
728,8,6
729,36,0
730,10,0
731,8,0
732,55,0
733,28,0
734,50,0
735,6,4
736,28,0
737,12,0
738,18,0
739,6,0
740,60,0
741,40,0
742,72,0
743,38,4
744,29,0
745,42,0
746,10,9
747,77,0
748,30,0
749,115,0
750,30,0
751,76,0
752,52,0
753,4,2
754,85,0
755,52,0
756,34,10
757,4,2
758,4,0
759,26,0
760,38,0
761,33,0
762,60,6
763,32,6
764,6,0
765,20,16
766,136,0
767,36,0
768,70,0
769,14,10
770,6,0
771,68,0
772,62,0
773,20,5
774,12,0
775,68,0
776,64,0
777,66,6
778,46,4
779,6,6
780,46,0
781,6,0
782,60,0
783,20,6
784,48,6
785,36,0
786,12,10
787,12,6
788,20,6
789,17,14
790,32,0
791,34,6
792,16,10
793,12,8
794,18,0
795,24,4
796,10,4
797,32,0
798,82,4
799,20,12
800,46,0
801,16,10
802,30,18
803,62,4
804,6,4
805,16,14
806,28,0
807,14,4
808,32,0
809,26,0
810,0,0
811,8,0
812,6,5
813,16,0
814,12,0
815,4,0
816,24,2
817,16,0
818,68,0
819,22,4
820,36,0
821,17,0
822,18,0
823,42,0
824,24,0
825,4,0
826,18,4
827,12,8
828,34,0
829,10,6
830,22,0
831,18,0
832,32,0
833,28,0
834,46,0
835,24,0
836,28,0
837,38,0
838,16,0
839,46,0
840,28,0
841,30,0
842,38,0
843,26,0
844,14,14
845,18,4
846,4,0
847,72,0
848,26,0
849,42,0
850,26,0
851,22,0
852,44,0
853,26,0
854,44,0
855,24,0
856,32,6
857,22,0
858,44,0
859,76,0
860,52,0
861,28,0
862,10,6
863,22,18
864,32,12
865,30,0
866,36,6
867,52,0
868,39,0
869,28,6
870,26,6
871,42,0
872,12,10
873,30,0
874,54,0
875,14,6
876,36,0
877,18,0
878,15,6
879,79,0
880,12,12
881,44,0
882,78,0
883,21,12
884,38,0
885,14,6
886,34,0
887,22,4
888,20,4
889,60,0
890,12,12
891,73,0
892,28,5
893,4,0
894,10,6
895,21,12
896,70,0
897,22,4
898,24,4
899,32,12
900,124,0
901,26,0
902,6,0
903,76,0
904,40,0
905,46,0
906,70,4
907,24,0
908,36,10
909,44,4
910,23,4
911,24,0
912,12,10
913,18,0
914,14,12
915,24,14
916,6,2
917,16,4
918,27,0
919,38,0
920,38,0
921,8,6
922,51,12
923,34,4
924,6,0
925,38,6
926,58,0
927,48,0
928,70,0
929,27,6
930,20,6
931,16,6
932,14,0
933,12,10
934,6,6
935,58,12
936,32,0
937,4,0
938,16,0
939,6,0
940,42,4
941,32,6
942,0,0
943,30,0
944,10,0
945,32,0
946,34,0
947,16,2
948,12,4
949,18,10
950,16,6
951,16,0
952,34,12
953,19,0
954,24,0
955,100,0
956,12,6
957,32,16
958,10,0
959,58,0
960,14,4
961,16,0
962,22,0
963,20,0
964,14,10
965,8,4
966,58,0
967,48,0
968,30,0
969,51,0
970,6,4
971,16,0
972,20,0
973,30,0
974,6,0
975,10,0
976,24,0
977,32,4
978,60,0
979,62,0
980,56,0
981,16,0
982,6,0
983,24,0
984,14,0
985,54,0
986,10,8
987,26,0
988,28,10
989,74,0
990,18,10
991,12,6
992,22,10
993,40,0
994,12,6
995,24,0
996,10,0
997,6,6
998,12,0
999,22,0
1000,18,0
1001,12,8
1002,16,10
1003,32,0
1004,58,10
1005,6,4
1006,18,4
1007,68,0
1008,16,16
1009,8,4
1010,16,0
1011,42,0
1012,32,0
1013,26,0
1014,58,0
1015,26,0
1016,55,0
1017,10,6
1018,30,6
1019,10,10
1020,36,0
1021,23,0
1022,28,0
1023,72,0
1024,16,8
1025,36,0
1026,6,0
1027,22,0
1028,26,0
1029,14,6
1030,14,4
1031,18,12
1032,40,0
1033,18,4
1034,78,0
1035,50,0
1036,32,4
1037,16,10
1038,29,0
1039,22,0
1040,10,0
1041,50,0
1042,40,0
1043,4,0
1044,42,0
1045,30,8
1046,76,0
1047,32,0
1048,20,0
1049,18,0
1050,40,24
1051,22,4
1052,0,0
1053,34,0
1054,42,0
1055,18,0
1056,32,0
1057,10,0
1058,24,4
